TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,PPFD_IN,PPFD_IN_QC,PPFD_OUT,PPFD_OUT_QC,SW_DIF,SW_DIF_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,TS_F_MDS_6,TS_F_MDS_1_QC,TS_F_MDS_2_QC,TS_F_MDS_3_QC,TS_F_MDS_4_QC,TS_F_MDS_5_QC,TS_F_MDS_6_QC,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,SWC_F_MDS_4,SWC_F_MDS_5,SWC_F_MDS_1_QC,SWC_F_MDS_2_QC,SWC_F_MDS_3_QC,SWC_F_MDS_4_QC,SWC_F_MDS_5_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20190101,7.125,1.0,6.8,0.602,1.0,7.719,0.467,1.0,7.177,6.776,0.64,7.907,0.46,7.125,1.0,6.8,0.602,1.0,7.719,0.467,1.0,82.1697,8.991,1.0,9.396,8.991,1.0,341.373,1.0,354.412,341.373,1.0,318.734,1.0,340.325,318.734,1.0,1.612,1.0,1.625,1.612,1.0,103.162,103.119,1.0,0.154,0.96,1.0,3.49,3.856,1.0,-9999,0.0,21.005998002083334,1.0,0.3380207687499999,1.0,10.457888068181818,0.9166666666666666,-1.704372093939394,0.6875,359.50114583333334,1.0,419.659,1.0,6.306,6.453,6.454,6.4,6.474,7.429,1.0,1.0,1.0,1.0,1.0,1.0,24.224,24.677,26.125,31.122,-9999,1.0,1.0,1.0,1.0,-9999,-0.867211,-9999,1.17028,-9999,-9999,-9999,-9999,0.929334,-9999,-43.7967,-9999,-9999,-9999,-9999,3.26528,-9999,-9999,-9999,31,17,31,17,0.365937,0.979167,0.213196,0.213196,0.365937,0.979167,0.213196,0.213196,0.286484,0.963542,0.033661,-0.270642,0.365937,0.365937,0.365937,0.365937,0.365937,0.365937,0.854167,0.979167,0.979167,0.979167,0.979167,0.979167,0.979167,0.258084,1.44744,1.0,0.268526,0.268526,0.525049,0.594808,0.941176,0.311005,0.311005,0.258084,1.44744,1.0,0.268526,0.268526,0.525049,0.594808,0.941176,0.311005,0.311005,-0.252545,0.258084,0.258084,0.258084,0.258084,0.258084,0.258084,0.903226,1.0,1.0,1.0,1.0,1.0,1.0,-0.275863,0.525049,0.525049,0.525049,0.525049,0.525049,0.525049,0.764706,0.941176,0.941176,0.941176,0.941176,0.941176,0.941176,0.989665,0.974986,0.998549,0.00240448,0.982672,0.986431,0.988425,0.993682,0.999608,1.02615,1.02959,0.629764,0.609049,0.712065,0.0355359,0.616735,0.620493,0.622488,0.627744,0.63367,0.661149,1.30007,1.10249,1.10249,1.10249,5.19684e-07,1.10249,1.10249,1.10249,1.10249,1.10249,1.10249,1.10249,0.0586945,0.0586945,0.0586946,1.05078e-07,0.0586945,0.0586945,0.0586945,0.0586945,0.0586945,0.0586945,0.0586945,-9999,-9999
20190102,5.513,1.0,5.31,0.365,1.0,5.882,0.389,1.0,4.902,4.479,0.928,5.674,0.344,5.513,1.0,5.31,0.365,1.0,5.882,0.389,1.0,82.7584,22.794,1.0,31.966,22.794,1.0,326.62,1.0,306.206,326.62,1.0,298.663,1.0,288.262,298.663,1.0,2.762,1.0,2.321,2.762,1.0,103.787,103.742,1.0,0.005,0.0,1.0,3.057,3.766,1.0,-9999,0.0,45.592231479166664,1.0,1.466629691666667,1.0,24.71571404444445,0.9375,-0.5028122765957447,0.9791666666666666,348.47797916666667,1.0,416.151,1.0,5.408,5.66,5.792,6.042,6.57,7.525,1.0,1.0,1.0,1.0,1.0,1.0,24.151,24.607,26.095,31.157,-9999,1.0,1.0,1.0,1.0,-9999,-5.66989,-9999,2.31716,-9999,-9999,-9999,-9999,0.921322,-9999,-33.5807,-9999,-9999,-9999,-9999,2.32182,-9999,-9999,-9999,31,17,31,17,0.438615,1.0,0.193258,0.193258,0.438615,1.0,0.193258,0.193258,0.402756,1.0,0.0151918,0.151747,0.438615,0.438615,0.438615,0.438615,0.438615,0.438615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.678977,0.024423,1.0,0.220617,0.220617,-0.0447146,0.465309,1.0,0.338607,0.338607,0.678977,0.024423,1.0,0.220617,0.220617,-0.0447146,0.465309,1.0,0.338607,0.338607,0.382477,0.678977,0.678977,0.678977,0.678977,0.678977,0.678977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.284571,-0.0447146,-0.0447146,-0.0447146,-0.0447146,-0.0447146,-0.0447146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.887735,0.866223,0.900949,0.00357773,0.877461,0.882978,0.88591,0.893655,0.902416,0.94204,0.947212,0.458022,0.427608,0.498192,0.0180818,0.438846,0.444363,0.447295,0.45504,0.463801,0.504829,0.795229,0.869499,0.869499,0.8695,4.09771e-07,0.869499,0.869499,0.869499,0.869499,0.869499,0.869499,0.869499,0.147919,0.147919,0.14792,2.62698e-07,0.147919,0.147919,0.147919,0.147919,0.147919,0.147919,0.147919,-9999,-9999
20190103,3.75,1.0,3.391,0.714,1.0,4.405,0.889,1.0,3.902,3.447,0.736,4.733,0.884,3.75,1.0,3.391,0.714,1.0,4.405,0.889,1.0,83.4046,30.135,1.0,29.649,30.135,1.0,306.279,1.0,319.64,306.279,1.0,294.12,1.0,302.771,294.12,1.0,1.194,1.0,1.147,1.194,1.0,103.994,103.93,1.0,0.127,0.51,1.0,1.543,1.562,1.0,0.2562647096774194,0.6458333333333334,61.0710273125,1.0,2.0889552541666667,1.0,21.45630752173913,0.9583333333333334,-3.2446227111111114,0.9375,343.47316666666666,1.0,420.034,1.0,4.532,4.92,5.175,5.634,6.463,7.566,1.0,1.0,1.0,1.0,1.0,1.0,23.893,24.375,25.964,31.148,-9999,1.0,1.0,1.0,1.0,-9999,-9.89289,-9999,1.19715,-9999,-9999,-9999,-9999,0.934364,-9999,-18.6124,-9999,-9999,-9999,-9999,2.13843,-9999,-9999,-9999,31,17,12,15,2.69203,0.75,0.303931,0.305849,2.69203,0.75,0.303931,0.305849,2.69406,0.75,0.011799,2.69203,2.69203,2.69203,2.69203,2.69203,2.76042,2.76042,0.75,0.75,0.75,0.75,0.75,0.75,0.75,3.37345,2.45452,0.677419,0.47446,0.478395,1.17311,4.08301,0.882353,0.365863,0.374777,3.37345,2.45452,0.677419,0.47446,0.478395,1.17311,4.08301,0.882353,0.365863,0.374777,3.37345,3.37345,3.37345,3.37345,3.37345,3.49592,3.56462,0.677419,0.677419,0.677419,0.677419,0.677419,0.677419,0.677419,1.0106,1.0106,1.17311,1.17311,1.17311,1.17311,1.17311,0.882353,0.882353,0.882353,0.882353,0.882353,0.882353,0.882353,0.782815,0.755589,0.799861,0.00461838,0.769772,0.776766,0.780493,0.790362,0.801575,0.852933,0.859714,-1.89786,-1.93644,-1.8942,0.0114036,-1.92226,-1.91616,-1.91341,-1.90591,-1.89779,-1.89463,-1.88908,0.664628,0.664628,0.664628,3.13333e-07,0.664628,0.664628,0.664628,0.664628,0.664628,0.664628,0.664628,0.194552,0.194552,0.194552,3.43043e-07,0.194552,0.194552,0.194552,0.194552,0.194552,0.194552,0.194552,-9999,-9999
20190104,3.49,1.0,3.617,0.562,1.0,3.258,0.419,1.0,3.891,3.985,0.558,3.719,0.237,3.49,1.0,3.617,0.562,1.0,3.258,0.419,1.0,84.1076,11.487,1.0,26.468,11.487,1.0,328.141,1.0,339.614,328.141,1.0,292.356,1.0,324.343,292.356,1.0,1.248,1.0,1.22,1.248,1.0,103.85,103.79,1.0,0.361,0.09,1.0,2.394,2.412,1.0,0.30474809999999997,0.625,23.702994149583333,1.0,0.5579131458333333,1.0,12.338288717391302,0.9583333333333334,-5.3448836585365855,0.8541666666666666,343.6646041666666,1.0,419.602,1.0,4.016,4.328,4.546,5.06,6.206,7.553,1.0,1.0,1.0,1.0,1.0,1.0,23.749,24.208,25.841,31.111,-9999,1.0,1.0,1.0,1.0,-9999,-8.29382,-9999,0.269533,-9999,-9999,-9999,-9999,0.906252,-9999,-22.3185,-9999,-9999,-9999,-9999,2.22937,-9999,-9999,-9999,31,17,8,17,2.81351,0.625,0.30639,0.30909,2.81351,0.625,0.30639,0.30909,2.83853,0.625,0.0104064,2.81351,2.81351,2.81351,2.81351,2.81351,2.89505,2.99921,0.625,0.625,0.625,0.625,0.625,0.625,0.625,3.49043,1.56766,0.903226,0.51953,0.522476,1.29034,1.10723,0.117647,0.358819,0.359102,3.49043,1.56766,0.903226,0.51953,0.522476,1.29034,1.10723,0.117647,0.358819,0.359102,3.49043,3.49043,3.49043,3.49043,3.49043,3.60124,3.78314,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,0.903226,1.26185,1.26185,1.29034,1.29034,1.29034,1.29034,1.29034,0.117647,0.117647,0.117647,0.117647,0.117647,0.117647,0.117647,0.767223,0.739132,0.784848,0.00477536,0.753761,0.760979,0.764826,0.775016,0.7866,0.839727,0.84675,-2.03456,-2.07438,-2.05368,0.00693629,-2.15785,-2.07438,-2.05346,-2.04543,-2.03506,-2.03123,-2.02548,0.633912,0.633912,0.633912,2.98821e-07,0.633912,0.633912,0.633912,0.633912,0.633912,0.633912,0.633912,0.0748288,0.0748288,0.0748289,1.33633e-07,0.0748288,0.0748288,0.0748288,0.0748288,0.0748288,0.0748288,0.0748288,-9999,-9999
20190105,5.258,1.0,5.02,0.523,1.0,5.692,0.343,1.0,5.655,5.455,0.464,6.021,0.363,5.258,1.0,5.02,0.523,1.0,5.692,0.343,1.0,84.8671,4.198,1.0,13.983,4.198,1.0,342.153,1.0,353.524,342.153,1.0,308.594,1.0,339.366,308.594,1.0,0.786,1.0,1.157,0.786,1.0,103.434,103.396,1.0,0.41,0.36,1.0,3.206,3.595,1.0,-9999,0.0,11.476698333333331,1.0,0.06840990208333333,1.0,5.314511638297873,0.9791666666666666,-5.589806079166666,1.0,350.9568541666667,1.0,414.795,1.0,4.99,5.155,5.201,5.357,6.08,7.468,1.0,1.0,1.0,1.0,1.0,1.0,23.829,24.202,25.788,31.095,-9999,1.0,1.0,1.0,1.0,-9999,-2.33963,-9999,1.04146,-9999,-9999,-9999,-9999,1.04761,-9999,-37.7638,-9999,-9999,-9999,-9999,2.52566,-9999,-9999,-9999,31,17,31,17,0.643593,1.0,0.196557,0.196557,0.643593,1.0,0.196557,0.196557,0.59826,1.0,0.0192266,0.273013,0.643593,0.643593,0.643593,0.643593,0.643593,0.643593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.755141,0.277571,1.0,0.22667,0.22667,0.374122,0.763397,1.0,0.339369,0.339369,0.755141,0.277571,1.0,0.22667,0.22667,0.374122,0.763397,1.0,0.339369,0.339369,0.466025,0.755141,0.755141,0.755141,0.755141,0.755141,0.755141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.106972,0.374122,0.374122,0.374122,0.374122,0.374122,0.374122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.872219,0.849789,0.886034,0.00374101,0.861502,0.867255,0.870315,0.878398,0.887547,0.929005,0.934425,0.237918,0.206195,0.287774,0.0222286,0.217908,0.223662,0.226721,0.234804,0.243954,0.286883,0.661164,0.837401,0.837401,0.837402,3.946e-07,0.837401,0.837401,0.837401,0.837401,0.837401,0.837401,0.837401,0.027463,0.027463,0.0274631,4.93233e-08,0.027463,0.027463,0.027463,0.027463,0.027463,0.027463,0.027463,-9999,-9999
20190106,4.809,1.0,4.602,0.511,1.0,5.187,0.163,1.0,4.911,4.778,0.384,5.153,0.593,4.809,1.0,4.602,0.511,1.0,5.187,0.163,1.0,85.6841,5.77,1.0,21.16,5.77,1.0,337.374,1.0,336.636,337.374,1.0,300.739,1.0,321.127,300.739,1.0,1.553,1.0,1.228,1.553,1.0,103.412,103.359,1.0,0.064,0.0,1.0,1.684,1.86,1.0,0.47691554838709677,0.6458333333333334,13.645536875,1.0,0.19303794374999997,1.0,6.763434255813952,0.8958333333333334,-5.671173270588234,0.7083333333333334,352.4163125,1.0,427.991,1.0,4.9,5.125,5.232,5.464,6.141,7.422,1.0,1.0,1.0,1.0,1.0,1.0,23.878,24.256,25.79,31.114,-9999,1.0,1.0,1.0,1.0,-9999,-4.26669,-9999,1.06875,-9999,-9999,-9999,-9999,1.10365,-9999,-35.3524,-9999,-9999,-9999,-9999,2.40388,-9999,-9999,-9999,31,17,30,17,0.793841,1.0,0.209762,0.209762,0.793841,1.0,0.209762,0.209762,0.749155,1.0,0.0189316,0.436562,0.793841,0.793841,0.793841,0.793841,0.793841,0.793841,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.21632,0.806821,1.0,0.254458,0.254458,-0.0580533,0.773122,1.0,0.332671,0.332671,1.21632,0.806821,1.0,0.254458,0.254458,-0.0580533,0.773122,1.0,0.332671,0.332671,1.01054,1.21632,1.21632,1.21632,1.21632,1.21632,1.21632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.654917,-0.0580533,-0.0580533,-0.0580533,-0.0580533,-0.0580533,-0.0580533,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.844935,0.820904,0.859802,0.00402646,0.833444,0.839611,0.842892,0.851566,0.861394,0.906057,0.911912,0.0610686,0.0270626,0.110647,0.0221723,0.0396031,0.0457699,0.0490506,0.0577244,0.0675528,0.113805,0.475083,0.781283,0.781283,0.781283,3.67884e-07,0.781283,0.781283,0.781283,0.781283,0.781283,0.781283,0.781283,0.0377109,0.0377109,0.037711,6.76393e-08,0.0377109,0.0377109,0.0377109,0.0377109,0.0377109,0.0377109,0.0377109,-9999,-9999
20190107,7.236,1.0,6.99,1.516,1.0,7.684,0.778,1.0,6.44,6.01,2.245,7.226,0.897,7.236,1.0,6.99,1.516,1.0,7.684,0.778,1.0,86.5581,14.607,1.0,11.412,14.607,1.0,353.742,1.0,347.585,353.742,1.0,323.008,1.0,332.952,323.008,1.0,1.02,1.0,0.779,1.02,1.0,103.058,102.993,1.0,0.835,1.61,1.0,3.087,3.258,1.0,0.6877670303030303,0.6875,31.34154557291667,1.0,0.7582050458333333,1.0,16.172998217391306,0.9583333333333334,-3.13758534375,0.6666666666666666,363.8670625,1.0,423.979,1.0,5.846,5.882,5.811,5.759,6.18,7.383,1.0,1.0,1.0,1.0,1.0,1.0,23.759,24.158,25.728,31.119,-9999,1.0,1.0,1.0,1.0,-9999,1.35893,-9999,0.331738,-9999,-9999,-9999,-9999,1.42474,-9999,-39.6901,-9999,-9999,-9999,-9999,3.13573,-9999,-9999,-9999,31,17,31,17,0.0386378,1.0,0.203434,0.203434,0.0386378,1.0,0.203434,0.203434,0.0181822,1.0,0.00868001,-0.129327,0.0386378,0.0386378,0.0386378,0.0386378,0.0386378,0.0386378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.321647,0.420458,1.0,0.238872,0.238872,-0.481404,0.668985,1.0,0.341536,0.341536,0.321647,0.420458,1.0,0.238872,0.238872,-0.481404,0.668985,1.0,0.341536,0.341536,0.143118,0.321647,0.321647,0.321647,0.321647,0.321647,0.321647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.612863,-0.481404,-0.481404,-0.481404,-0.481404,-0.481404,-0.481404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997905,0.984066,1.00631,0.0022745,0.991309,0.994853,0.996735,1.0017,1.00729,1.03242,1.03568,0.964966,0.945428,0.988126,0.0105254,0.952671,0.956216,0.958097,0.963059,0.968657,0.99467,1.16486,1.12996,1.12996,1.12996,5.32423e-07,1.12996,1.12996,1.12996,1.12996,1.12996,1.12996,1.12996,0.095038,0.095038,0.0950382,1.6946e-07,0.095038,0.095038,0.095038,0.095038,0.095038,0.095038,0.095038,-9999,-9999
20190108,6.909,1.0,6.757,1.375,1.0,7.186,0.342,1.0,6.83,6.662,1.089,7.137,0.332,6.909,1.0,6.757,1.375,1.0,7.186,0.342,1.0,87.4888,42.99,1.0,33.219,42.99,1.0,310.042,1.0,313.897,310.042,1.0,302.086,1.0,296.568,302.086,1.0,2.385,1.0,2.231,2.385,1.0,102.101,102.082,1.0,1.197,1.09,1.0,5.802,6.798,1.0,0.6942857222222221,0.75,80.64509683333334,1.0,3.110462454375,1.0,31.99410391304348,0.9583333333333334,1.4515269229166667,1.0,355.6153541666667,1.0,412.156,1.0,5.516,5.773,5.883,6.021,6.38,7.386,1.0,1.0,1.0,1.0,1.0,1.0,24.328,24.696,25.837,31.17,-9999,1.0,1.0,1.0,1.0,-9999,-4.51029,-9999,3.93062,-9999,-9999,-9999,-9999,1.17051,-9999,-35.1137,-9999,-9999,-9999,-9999,3.83224,-9999,-9999,-9999,31,17,28,16,0.434078,1.0,0.205311,0.205312,0.434078,1.0,0.205311,0.205312,0.418383,1.0,0.00664997,0.305154,0.43312,0.434078,0.434078,0.434078,0.434078,0.434078,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.944499,4.98353,1.0,0.235364,0.235365,-0.541246,1.19554,1.0,0.35549,0.35549,0.944499,4.98353,1.0,0.235364,0.235365,-0.541246,1.19554,1.0,0.35549,0.35549,0.793964,0.94307,0.944499,0.944499,0.944499,0.944499,0.944499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.617526,-0.541246,-0.541246,-0.541246,-0.541246,-0.541246,-0.541246,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83536,0.823005,0.842855,0.00201344,0.829481,0.832642,0.834319,0.838728,0.843691,0.865785,0.868626,0.406344,0.388928,0.424472,0.00828486,0.395403,0.398565,0.400241,0.404651,0.409614,0.43248,0.563342,1.07546,1.07546,1.07546,5.06642e-07,1.07546,1.07546,1.07546,1.07546,1.07546,1.07546,1.07546,0.276339,0.276339,0.27634,4.84535e-07,0.276339,0.276339,0.276339,0.276339,0.276339,0.276339,0.276339,-9999,-9999
20190109,4.486,1.0,4.184,0.58,1.0,5.037,0.957,1.0,4.498,4.116,0.683,5.194,0.844,4.486,1.0,4.184,0.58,1.0,5.037,0.957,1.0,88.4764,40.969,1.0,37.808,40.969,1.0,290.244,1.0,300.592,290.244,1.0,291.745,1.0,282.198,291.745,1.0,2.165,1.0,2.065,2.165,1.0,102.19,102.155,1.0,1.006,1.74,1.0,4.243,5.02,1.0,-9999,0.0,77.11457358583333,1.0,3.0168189479166667,1.0,25.010910978260867,0.9583333333333334,1.6302890839583333,1.0,343.1555416666667,1.0,413.006,1.0,4.185,4.614,4.911,5.438,6.328,7.417,1.0,1.0,1.0,1.0,1.0,1.0,25.096,25.387,26.162,31.236,-9999,1.0,1.0,1.0,1.0,-9999,-10.3225,-9999,4.48972,-9999,-9999,-9999,-9999,0.953147,-9999,-21.8627,-9999,-9999,-9999,-9999,2.45108,-9999,-9999,-9999,31,17,25,17,0.937659,0.854167,0.228259,0.2341,0.937659,0.854167,0.228259,0.2341,0.919543,0.854688,0.0073037,0.81499,0.833723,0.937659,0.937659,0.937659,0.937659,0.937659,0.854167,0.854167,0.854167,0.854167,0.854167,0.854167,0.854167,1.57378,0.93535,0.935484,0.2849,0.293306,-0.318578,1.14885,0.705882,0.346097,0.346299,1.57378,0.93535,0.935484,0.2849,0.293306,-0.318578,1.14885,0.705882,0.346097,0.346299,1.43435,1.43435,1.57378,1.57378,1.57378,1.57378,1.57378,0.935484,0.935484,0.935484,0.935484,0.935484,0.935484,0.935484,-0.398085,-0.342256,-0.318578,-0.318578,-0.318578,-0.318578,-0.318578,0.705882,0.705882,0.705882,0.705882,0.705882,0.705882,0.705882,0.51661,0.499938,0.527406,0.00287046,0.508635,0.512915,0.515192,0.521212,0.528036,0.559051,0.563117,-0.414127,-0.437722,-0.392137,0.00961778,-0.429025,-0.424745,-0.422467,-0.416448,-0.409624,-0.388511,-0.250128,0.745955,0.745955,0.745955,3.51329e-07,0.745955,0.745955,0.745955,0.745955,0.745955,0.745955,0.745955,0.263622,0.263622,0.263623,4.62748e-07,0.263622,0.263622,0.263622,0.263622,0.263622,0.263622,0.263622,-9999,-9999
20190110,3.113,1.0,2.809,0.405,1.0,3.666,0.748,1.0,2.378,2.082,0.996,2.917,1.293,3.113,1.0,2.809,0.405,1.0,3.666,0.748,1.0,89.5209,15.949,1.0,22.965,15.949,1.0,313.759,1.0,319.787,313.759,1.0,287.855,1.0,302.93,287.855,1.0,1.535,1.0,1.082,1.535,1.0,102.697,102.634,1.0,1.306,0.56,1.0,1.468,1.704,1.0,0.3553556666666667,0.75,34.628085978723405,0.9791666666666666,0.906991570212766,0.9791666666666666,18.180664466666666,0.9375,-4.420344773809524,0.875,341.46408333333335,1.0,425.53,1.0,3.265,3.654,3.954,4.617,5.986,7.397,1.0,1.0,1.0,1.0,1.0,1.0,24.726,25.107,26.185,31.262,-9999,1.0,1.0,1.0,1.0,-9999,-10.4704,-9999,-0.0414191,-9999,-9999,-9999,-9999,0.908114,-9999,-16.0684,-9999,-9999,-9999,-9999,2.3192,-9999,-9999,-9999,31,17,1,16,2.37947,0.458333,0.362869,0.381735,2.37947,0.458333,0.362869,0.381735,2.41115,0.450521,0.0193542,2.37947,2.37947,2.37947,2.37947,2.37947,2.61652,2.61812,0.458333,0.458333,0.458333,0.458333,0.458333,0.395833,0.395833,3.3158,1.73426,0.483871,1.67623,1.68688,0.427814,1.51403,0.411765,0.356456,0.358485,3.3158,1.73426,0.483871,1.67623,1.68688,0.427814,1.51403,0.411765,0.356456,0.358485,3.3158,3.3158,3.3158,3.3158,3.3158,3.69422,3.71453,0.483871,0.483871,0.483871,0.483871,0.483871,0.483871,0.483871,0.345683,0.351652,0.427814,0.427814,0.427814,0.427814,0.427814,0.235294,0.411765,0.411765,0.411765,0.411765,0.411765,0.411765,0.306504,0.291851,0.316656,0.00271736,0.299464,0.303236,0.305249,0.31059,0.316684,0.345746,0.350242,-2.06682,-2.08762,-2.0945,0.0183419,-2.29591,-2.26627,-2.07746,-2.07252,-2.06708,-2.06507,-2.06204,0.596942,0.596942,0.596942,2.81277e-07,0.596942,0.596942,0.596942,0.596942,0.596942,0.596942,0.596942,0.103767,0.103767,0.103767,1.84981e-07,0.103767,0.103767,0.103767,0.103767,0.103767,0.103767,0.103767,-9999,-9999
